OD ID,Origin,Destination,HDV Demand,EV Demand
1->1,1,1,0.0,0.0
1->2,1,2,63.802849,0.0
1->3,1,3,471.81948,0.0
1->4,1,4,0.0,0.0
1->5,1,5,0.0,0.0
1->6,1,6,0.0,0.0
1->7,1,7,918.488499,0.0
1->8,1,8,0.0,0.0
1->9,1,9,0.0,0.0
1->10,1,10,0.0,0.0
1->11,1,11,0.0,0.0
1->12,1,12,0.0,0.0
1->13,1,13,0.0,0.0
1->14,1,14,0.0,0.0
1->15,1,15,0.0,0.0
1->16,1,16,0.0,0.0
1->17,1,17,0.0,0.0
1->18,1,18,0.0,0.0
1->19,1,19,0.0,0.0
1->20,1,20,0.0,0.0
1->21,1,21,28.772957,0.0
1->22,1,22,31.681824,0.0
1->23,1,23,0.0,0.0
1->24,1,24,0.0,0.0
1->25,1,25,0.0,0.0
1->26,1,26,0.0,0.0
1->27,1,27,0.0,0.0
1->28,1,28,0.0,0.0
1->29,1,29,29.681628,0.0
1->30,1,30,8.606275,0.0
1->31,1,31,8.606275,0.0
1->32,1,32,8.606275,0.0
1->33,1,33,8.606275,0.0
1->34,1,34,0.0,0.0
1->35,1,35,0.0,0.0
1->36,1,36,11.722161,0.0
1->37,1,37,20.428002,0.0
1->38,1,38,20.428002,0.0
1->39,1,39,20.428002,0.0
1->40,1,40,20.428002,0.0
1->41,1,41,0.0,0.0
1->42,1,42,23.394305,0.0
1->43,1,43,0.0,0.0
1->44,1,44,0.0,0.0
1->45,1,45,0.0,0.0
1->46,1,46,0.0,0.0
1->47,1,47,0.0,0.0
1->48,1,48,14.575279,0.0
1->49,1,49,8.505481,0.0
1->50,1,50,9.077854,0.0
1->51,1,51,9.077854,0.0
1->52,1,52,4.484028,0.0
1->53,1,53,4.452338,0.0
1->54,1,54,1.875118,0.0
1->55,1,55,0.0,0.0
1->56,1,56,0.0,0.0
1->57,1,57,0.0,0.0
1->58,1,58,0.0,0.0
1->59,1,59,2.02354,0.0
1->60,1,60,2.02354,0.0
1->61,1,61,1.880171,0.0
1->62,1,62,1.93676,0.0
1->63,1,63,1.93676,0.0
1->64,1,64,1.93676,0.0
1->65,1,65,1.93676,0.0
1->66,1,66,1.93676,0.0
1->67,1,67,1.948398,0.0
1->68,1,68,0.0,0.0
1->69,1,69,1.965538,0.0
1->70,1,70,0.0,0.0
1->71,1,71,0.0,0.0
1->72,1,72,0.0,0.0
1->73,1,73,0.0,0.0
1->74,1,74,0.0,0.0
2->2,2,2,0.0,0.0
2->1,2,1,44.610847,0.0
2->3,2,3,118.65221,0.0
2->4,2,4,0.0,0.0
2->5,2,5,0.0,0.0
2->6,2,6,381.411877,0.0
2->7,2,7,0.0,0.0
2->8,2,8,0.0,0.0
2->9,2,9,0.0,0.0
2->10,2,10,167.195351,0.0
2->11,2,11,0.0,0.0
2->12,2,12,0.0,0.0
2->13,2,13,104.283571,0.0
2->14,2,14,104.283571,0.0
2->15,2,15,0.0,0.0
2->16,2,16,90.951624,0.0
2->17,2,17,90.951624,0.0
2->18,2,18,90.951624,0.0
2->19,2,19,0.0,0.0
2->20,2,20,0.0,0.0
2->21,2,21,0.0,0.0
2->22,2,22,0.0,0.0
2->23,2,23,0.0,0.0
2->24,2,24,0.0,0.0
2->25,2,25,0.0,0.0
2->26,2,26,0.0,0.0
2->27,2,27,0.0,0.0
2->28,2,28,0.0,0.0
2->29,2,29,0.0,0.0
2->30,2,30,0.0,0.0
2->31,2,31,0.0,0.0
2->32,2,32,0.0,0.0
2->33,2,33,0.0,0.0
2->34,2,34,0.0,0.0
2->35,2,35,0.0,0.0
2->36,2,36,0.0,0.0
2->37,2,37,0.0,0.0
2->38,2,38,0.0,0.0
2->39,2,39,0.0,0.0
2->40,2,40,0.0,0.0
2->41,2,41,0.0,0.0
2->42,2,42,0.0,0.0
2->43,2,43,0.0,0.0
2->44,2,44,0.0,0.0
2->45,2,45,0.0,0.0
2->46,2,46,0.0,0.0
2->47,2,47,0.0,0.0
2->48,2,48,0.0,0.0
2->49,2,49,0.0,0.0
2->50,2,50,0.0,0.0
2->51,2,51,0.0,0.0
2->52,2,52,0.0,0.0
2->53,2,53,0.0,0.0
2->54,2,54,0.0,0.0
2->55,2,55,0.0,0.0
2->56,2,56,0.0,0.0
2->57,2,57,0.0,0.0
2->58,2,58,0.0,0.0
2->59,2,59,0.0,0.0
2->60,2,60,0.0,0.0
2->61,2,61,0.0,0.0
2->62,2,62,0.0,0.0
2->63,2,63,0.0,0.0
2->64,2,64,0.0,0.0
2->65,2,65,0.0,0.0
2->66,2,66,0.0,0.0
2->67,2,67,0.0,0.0
2->68,2,68,0.0,0.0
2->69,2,69,0.0,0.0
2->70,2,70,0.0,0.0
2->71,2,71,0.0,0.0
2->72,2,72,0.0,0.0
2->73,2,73,0.0,0.0
2->74,2,74,0.0,0.0
3->3,3,3,0.0,0.0
3->1,3,1,67.639683,0.0
3->2,3,2,72.07049,0.0
3->4,3,4,0.0,0.0
3->5,3,5,0.0,0.0
3->6,3,6,0.0,0.0
3->7,3,7,0.0,0.0
3->8,3,8,0.0,0.0
3->9,3,9,0.0,0.0
3->10,3,10,0.0,0.0
3->11,3,11,0.0,0.0
3->12,3,12,134.776233,0.0
3->13,3,13,0.0,0.0
3->14,3,14,0.0,0.0
3->15,3,15,0.0,0.0
3->16,3,16,0.0,0.0
3->17,3,17,0.0,0.0
3->18,3,18,0.0,0.0
3->19,3,19,0.0,0.0
3->20,3,20,0.0,0.0
3->21,3,21,0.0,0.0
3->22,3,22,0.0,0.0
3->23,3,23,0.0,0.0
3->24,3,24,0.0,0.0
3->25,3,25,0.0,0.0
3->26,3,26,0.0,0.0
3->27,3,27,0.0,0.0
3->28,3,28,0.0,0.0
3->29,3,29,0.0,0.0
3->30,3,30,0.0,0.0
3->31,3,31,0.0,0.0
3->32,3,32,0.0,0.0
3->33,3,33,0.0,0.0
3->34,3,34,0.0,0.0
3->35,3,35,0.0,0.0
3->36,3,36,0.0,0.0
3->37,3,37,0.0,0.0
3->38,3,38,0.0,0.0
3->39,3,39,0.0,0.0
3->40,3,40,0.0,0.0
3->41,3,41,0.0,0.0
3->42,3,42,0.0,0.0
3->43,3,43,0.0,0.0
3->44,3,44,0.0,0.0
3->45,3,45,0.0,0.0
3->46,3,46,0.0,0.0
3->47,3,47,0.0,0.0
3->48,3,48,0.0,0.0
3->49,3,49,0.0,0.0
3->50,3,50,0.0,0.0
3->51,3,51,0.0,0.0
3->52,3,52,0.0,0.0
3->53,3,53,0.0,0.0
